Pokémon Gym/Evolution - Pokémon Red / Pokémon Blue	h04_pm_pokemongym_shinka
Battle! (Wild Pokémon) - Pokémon Ruby / Pokémon Sapphire	h05_rs_sentou_yaseipokemon
Victory Road - Pokémon Ruby / Pokémon Sapphire	h06_rs_championroad
Battle! (Wild Pokémon) - Pokémon Diamond / Pokémon Pearl	h07_dp_sentou_yaseipokemon
Battle! (Dialga/Palkia) / Spear Pillar	h08_dp_dialgapalkia_yarinohashira
Battle! (Team Galactic)	h09_dp_gingadan
Route 209 - Pokémon Diamond / Pokémon Pearl	h10_dp_209bandouro
N's Castle	h11_bw_n_medley
Battle! (Reshiram/Zekrom)	h12_bw_sentou_zekrom_reshiram
Battle! (Trainer Battle) - Pokémon X / Pokémon Y	h13_xy_sentou_trainer
Lumiose City	h14_xy_miarecity
Battle! (Champion) / Champion Cynthia	h16_dp_sentou_champion
Route 10 - Pokémon Black / Pokémon White	h17_bw_10bandouro
Route 23 - Pokémon Black 2 / Pokémon White 2	h18_b2w2_23bandouro
Battle! (Team Flare)	h19_xy_vs_flare
Battle! (Wild Pokémon) - Pokémon X / Pokémon Y	h20_xy_sentou_yaseipokemon
Victory Road - Pokémon X / Pokémon Y	h21_xy_championroad
Battle! (Champion) - Pokémon X / Pokémon Y	h22_xy_sentou_champion
Battle! (Wild Pokémon) - Pokémon Sun / Pokémon Moon	h23_sm_sentou_yaseipokemon
Battle! (Steven)	h24_oras_kessen_daigo
Battle! (Island Kahuna)	h25_sm_sentou_shimakingshimaqueen
Battle! (Gladion)	h26_sm_sentou_gladion
Battle! (Elite Four) / Battle! (Solgaleo/Lunala)	h27_sm_sentou_shitennou_solgaleo_lunala
Battle! (Trainer) - Pokémon Sun / Pokémon Moon	h28_sm_sentou_trainer
Battle! (Lorekeeper Zinnia)	h29_oras_sentou_higana
The Battle at the Summit!	h30_sm_choujoukessen
Mute City (Brawl)	i01_fzr_mutecity
White Land	i02_fzr_whiteland
Fire Field	i03_fzr_firefield
Car Select	i04_fzx_carselect
Dream Chaser	i05_fzx_dreamchaser
Devil's Call in Your Heart	i06_fzx_devilscallinyourheart
Climb Up! And Get the Last Chance!	i07_fzx_climbup_andgetthelastchance
Brain Cleaner	i08_gx_braincleaner
Shotgun Kiss	i09_gx_shotgunkiss
Planet Colors	i10_gx_planetcolors
Mute City (for 3DS / Wii U)	i11_fzr_mutecity
Mute City	i12_fzr_sfc_mutecity
Red Canyon	i14_fzr_redcanyon
F-ZERO Medley	i15_fzr_medley
Sand Ocean	i16_fzr_sandocean
Big Blue	i17_fzr_bigblue
Death Wind	i18_fzr_deathwind
Fire Field	i19_fzr_firefield
Port Town	i20_fzr_porttown
Sand Ocean	i21_fzr_sandocean
Silence	i22_fzr_sandocean
White Land	i23_fzr_whiteland1
White Land II	i24_fzr_whiteland2
Big Blue	i25_fzr_bigblue
Fire Emblem Theme	j02_fem_theme
Shadow Dragon Medley	j03_fem_aankokuryuumedley
With Mila's Divine Protection (Celica Map 1)	j04_gdn_miranokagototomoni
Preparing to Advance	j06_snk_shingekijunbi
Winning Road - Roy's Hope	j07_fnk_winningroad_roynokibou
Attack - Fire Emblem	j08_rnk_kougeki
Against the Dark Knight	j09_sek_againstthedarkknight
Crimean Army Sortie	j10_sek_crimeaarmysortie
Power-Hungry Fool	j11_sek_powerhungryfool
Victory Is Near	j12_sek_victoryisnear
Eternal Bond	j13_anm_ikenotheme
Id (Purpose)	j14_ksi_i_i
Fight 1 - Fire Emblem Gaiden	j15_gdn_tatakai1
Meeting Theme Series Medley	j16_mnn_deainotheme
Fire Emblem: Mystery of the Emblem Medley	j17_mnn_singeki
Coliseum Series Medley	j18_ssk_tougijyou
The Devoted	j20_anm_tyuugitsukusan
Time of Action	j21_anm_kekkinotoki
Duty (Ablaze)	j22_ksi_shimei_honoo
Conquest (Ablaze)	j23_ksi_ensei_honoo
Lost in Thoughts All Alone (for 3DS / Wii U)	j24_if_hitoriomou
Lost in Thoughts All Alone (JP)	j25_if_hitoriomou
Lost in Thoughts All Alone	j26_if_lostinthoughtsallalone
Gear Up For...	j27_hr_menu
Lost in Thoughts All Alone	j28_if_hitoriomou
Prelude (Ablaze)	j29_ksi_jomaku_honoo
Edge of Adversity	j30_ssk_shituinohate
Destiny (Ablaze)	j31_ksi_shukumei_honoo
Those Who Challenge Gods	j32_eco_btl_a2
The Scions' Dance in Purgatory	j33_eco_btl_berkut2
March to Deliverance	j34_eco_mapb_a2
Lord of a Dead Empire	j35_eco_mapb_rudlf
Under This Banner	j36_mnn_konohatanomotoni
Advance	j37_mnn_singeki
Beyond Distant Skies - Roy's Departure	j38_fnk_anosoranomukouni_roynotabidachi
Id (Purpose)	j39_ksi_i_i
Fire Emblem Theme (Heroic Origins)	j40_hr_menutitle
Snowman	k01_mtr_snowman
Humoresque of a Little Dog	k05_mtr_humoresqueofalittledog
Porky's Theme	k07_mtr_porkynotheme
Mother 3 Love Theme	k08_mtr3_ainotheme
Unfounded Revenge / Smashing Song of Praise	k09_mtr3_revenge_bukkowashisanka
You Call This a Utopia?!	k10_mtr3_utopiadesho
Magicant (for 3DS / Wii U)	k11_mtr_magicant_eightmelodies
Smiles and Tears	k12_mtr2_smileandtears
Onett Theme / Winters Theme	k13_mtr2_onettnotheme
Magicant	k14_mtr_magicant
Fourside	k15_mtr2_fourside
World Map - Pikmin 2	l01_pik2_worldmap
Forest of Hope	l02_pik_kibounomori
Environmental Noises	l03_pik_kankyouon
Main Theme - Pikmin	l06_pik_maintheme
Stage Clear / Title Theme - Pikmin	l07_pik_clear_title
Stage Select - Pikmin 2	l09_pik2_stageselect
Mission Mode - Pikmin 3	l10_pik3_missionmode
Garden of Hope	l11_pik3_saikainohanazono
Garden of Hope	l12_pik3_saikainohanazono
Over Wintry Mountains	l13_hpk_tokusyucourse4omote
The Keeper of the Lake	l14_hpk_boss2
Flashes of Fear	l15_hpk_boss4
Fragment of Hope	l16_hpk_boss9later
Main Theme - Pikmin	l17_pik_maintheme
WarioWare, Inc.	m01_miw_madeinwario	m09_miw_game_yokero	m10_miw_game_fumareruna	m11_miw_game_kawase	m12_miw_game_nureruna	m13_miw_game_tobe	m15_miw_game_narase	m16_miw_game_kudake	m17_miw_game_ugokuna	m18_miw_game_appeal
WarioWare, Inc.	m01_miw_madeinwario	m09_miw_game_yokero	m10_miw_game_fumareruna	m11_miw_game_kawase	m12_miw_game_nureruna	m13_miw_game_tobe	m15_miw_game_narase	m16_miw_game_kudake	m17_miw_game_ugokuna	m18_miw_game_appeal
WarioWare, Inc. Medley	m02_miw_medley
Mona Pizza's Song (JP)	m03_mmw_kochiramonapizza
Mona Pizza's Song	m04_mmw_monapizzassong
Mike's Song (JP)	m05_smw_mikegasukisuki
Mike's Song	m06_smw_mikessong
Ashley's Song (JP) (Brawl)	m07_smw_ashreynotheme
Ashley's Song	m08_smw_ashreyssong
Ashley's Song (JP) (for 3DS / Wii U)	m19_smw_ashreynotheme
Ruins - Wario Land: Shake It!	m20_wls_1_1_1_iseki
Gamer	m21a_gaw_gamer_normal
Gamer	m21b_gaw_gamer_mom
Gamer	m21b_gaw_gamer_mom
Encounter	mg02_mgs_encounter
Theme of Tara	mg03_mg_themeoftara
Yell ""Dead Cell""	mg04_mgs2_yelldeadcell
